"","drug_name","category1","category2"
"197","kw-2449","Protein Tyrosine Kinase/RTK, Epigenetics, Cell Cycle/DNA Damage, Apoptosis","FLT3, FGFR, Bcr-Abl, Aurora Kinase, Apoptosis"
"198","azd1208","JAK/STAT Signaling, Autophagy, Apoptosis","Pim, Autophagy, Apoptosis"
"199","tp-0903","Protein Tyrosine Kinase/RTK, Apoptosis","TAM Receptor, Apoptosis"
"200","cerulenin","Metabolic Enzyme/Protease, Anti-infection, Apoptosis","Fatty Acid Synthase (FASN), Fungal, Apoptosis, Antibiotic"
"201","lrrk2-in-1","Autophagy, Apoptosis","LRRK2, Apoptosis"
"202","filanesib","Cell Cycle/DNA Damage, Cytoskeleton, Apoptosis","Kinesin, Apoptosis"
"203","tadalafil","Metabolic Enzyme/Protease, Apoptosis","Phosphodiesterase (PDE), Apoptosis"
"204","fr-180204","Anti-infection, MAPK/ERK Pathway, Stem Cell/Wnt, Apoptosis","Dengue virus, Flavivirus, ERK, Apoptosis"
"205","perifosine","PI3K/Akt/mTOR, Autophagy, Apoptosis","Akt, Autophagy, Apoptosis"
"206","azd2014","PI3K/Akt/mTOR, Autophagy, Apoptosis","mTOR, Autophagy, Apoptosis"
"207","dioscin","Autophagy, Apoptosis","Autophagy, Apoptosis"
"208","tamibarotene","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Autophagy, Apoptosis","RAR/RXR, Autophagy, Apoptosis"
"209","meloxicam","Immunology/Inflammation, Autophagy, Apoptosis, Metabolic Enzyme/Protease","COX, Autophagy, Apoptosis, MMP"
"210","tacedinaline","Cell Cycle/DNA Damage, Epigenetics, Apoptosis","HDAC, Apoptosis"
"211","m-3m3fbs","Metabolic Enzyme/Protease, Apoptosis","Phospholipase, Apoptosis"
"212","nu-7026","Cell Cycle/DNA Damage, PI3K/Akt/mTOR, Apoptosis","DNA-PK, Apoptosis"
"213","tolcapone","Metabolic Enzyme/Protease, Neuronal Signaling, Apoptosis","COMT, Amyloid-β, Apoptosis"
"214","sirtinol","Cell Cycle/DNA Damage, Epigenetics, Autophagy, Apoptosis","Sirtuin, Autophagy, Apoptosis"
"215","matrine","GPCR/G Protein, Neuronal Signaling, Autophagy, Apoptosis","Opioid Receptor, Autophagy, Mitophagy, Ferroptosis, Apoptosis"
"216","mrs-2578","GPCR/G Protein, Apoptosis","P2Y Receptor, Apoptosis"
"217","pfk-158","Autophagy, Apoptosis","Autophagy, Apoptosis"
"218","zoledronic-acid","Apoptosis, Autophagy, Anti-infection","Apoptosis, Autophagy, Bacterial"
"219","pyroxamide","Cell Cycle/DNA Damage, Epigenetics, Apoptosis","HDAC, Apoptosis"
"220","olanzapine","GPCR/G Protein, Neuronal Signaling, Autophagy, Apoptosis","5-HT Receptor, Dopamine Receptor, mAChR, Adrenergic Receptor, Autophagy, Mitophagy, Apoptosis"
"221","dbeq","Cell Cycle/DNA Damage, Autophagy, Apoptosis","p97, Autophagy, Apoptosis"
"222","gw-441756","Neuronal Signaling, Protein Tyrosine Kinase/RTK, Apoptosis","Trk Receptor, Apoptosis"
"223","bafetinib","Protein Tyrosine Kinase/RTK, Apoptosis","Bcr-Abl, Src, Apoptosis"
"224","fludarabine-phosphate","Cell Cycle/DNA Damage, Apoptosis","Nucleoside Antimetabolite/Analog, Apoptosis"
"225","trifluridine","Apoptosis, Anti-infection, Cell Cycle/DNA Damage, Autophagy","Thymidylate Synthase, HSV, Nucleoside Antimetabolite/Analog, Orthopoxvirus, DNA/RNA Synthesis, Apoptosis, Autophagy"
"226","albendazole","Anti-infection, Cytoskeleton, Cell Cycle/DNA Damage, Autophagy, Apoptosis, Metabolic Enzyme/Protease, Immunology/Inflammation, NF-κB, Protein Tyrosine Kinase/RTK","Parasite, Microtubule/Tubulin, Autophagy, Apoptosis, Reactive Oxygen Species, VEGFR, HIF/HIF Prolyl-Hydroxylase, Antibiotic, Bacterial"
"227","ro-08-2750","Apoptosis","Apoptosis"
"228","ccg-1423","GPCR/G Protein, Apoptosis","Ras, Apoptosis"
"229","indirubin","Apoptosis","Apoptosis"
"230","pralatrexate","Cell Cycle/DNA Damage, Apoptosis","Antifolate, Apoptosis"
"231","embelin","Apoptosis, NF-κB, Autophagy","IAP, NF-κB, Apoptosis, Autophagy"
"232","casin","GPCR/G Protein, Apoptosis","Ras, Apoptosis"
"233","tivantinib","Protein Tyrosine Kinase/RTK, Apoptosis","c-Met/HGFR, Apoptosis"
"234","amantadine","Anti-infection, Apoptosis, Cell Cycle/DNA Damage","Influenza Virus, Orthopoxvirus, SARS-CoV, Apoptosis, CDK, Bcl-2 Family"
"235","zm-447439","Cell Cycle/DNA Damage, Epigenetics, Apoptosis","Aurora Kinase, Apoptosis"
"236","monastrol","Cell Cycle/DNA Damage, Cytoskeleton, Apoptosis","Kinesin, Apoptosis"
"237","salicylic-acid","Immunology/Inflammation, Autophagy, Apoptosis, Metabolic Enzyme/Protease","COX, Autophagy, Mitophagy, Apoptosis, Endogenous Metabolite"
"238","bms-536924","Protein Tyrosine Kinase/RTK, Apoptosis","IGF-1R, Insulin Receptor, Apoptosis"
"239","ono-4059","Protein Tyrosine Kinase/RTK, Apoptosis","Btk, Apoptosis"
"240","vildagliptin","Metabolic Enzyme/Protease, Apoptosis","Dipeptidyl Peptidase, Ferroptosis, Apoptosis"
"241","curcumol","Apoptosis","Apoptosis"
"242","psoralen","Apoptosis, Anti-infection","Apoptosis, HIV, Influenza Virus"
"243","eugenol","Induced Disease Models Products, Anti-infection, NF-κB, Metabolic Enzyme/Protease, Immunology/Inflammation, Apoptosis","Immunology and Inflammatory Disease Models, Bacterial, Parasite, Reactive Oxygen Species, Apoptosis, Ferroptosis"
"244","rigosertib","Cell Cycle/DNA Damage, PI3K/Akt/mTOR, Apoptosis","Polo-like Kinase (PLK), PI3K, Apoptosis"
"245","alantolactone","JAK/STAT Signaling, Stem Cell/Wnt, Apoptosis, TGF-beta/Smad","STAT, Apoptosis, TGF-beta/Smad"
"246","dinoprost","GPCR/G Protein, Metabolic Enzyme/Protease, Autophagy, Apoptosis","Prostaglandin Receptor, Endogenous Metabolite, Autophagy, Apoptosis"
"247","pha-665752","Protein Tyrosine Kinase/RTK, Autophagy, Apoptosis","c-Met/HGFR, Autophagy, Apoptosis"
"248","ixabepilone","Cell Cycle/DNA Damage, Cytoskeleton, Apoptosis, Anti-infection","Microtubule/Tubulin, Apoptosis, Bacterial"
"249","aloe-emodin","PI3K/Akt/mTOR, Anti-infection, Apoptosis, Autophagy","mTOR, Influenza Virus, Apoptosis, Autophagy"
"250","pnu-74654","Stem Cell/Wnt, Apoptosis","Wnt, β-catenin, Apoptosis"
"251","irbesartan","GPCR/G Protein, Apoptosis","Angiotensin Receptor, Apoptosis"
"252","pac-1","Apoptosis, Autophagy","Caspase, Autophagy, Apoptosis"
"253","ski-ii","Immunology/Inflammation, Stem Cell/Wnt, Apoptosis","SphK, Wnt, Apoptosis"
"254","nsc-95397","Metabolic Enzyme/Protease, Apoptosis","Phosphatase, Apoptosis"
"255","goserelin-acetate","GPCR/G Protein, Apoptosis","GnRH Receptor, Apoptosis"
"256","palmatine-chloride","Metabolic Enzyme/Protease, Anti-infection, Cell Cycle/DNA Damage, Epigenetics, Apoptosis","Indoleamine 2,3-Dioxygenase (IDO), Virus Protease, Aurora Kinase, Apoptosis, Bacterial, Parasite"
"257","adapalene","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Autophagy, Apoptosis","RAR/RXR, Autophagy, Apoptosis"
"258","flunisolide","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor, Apoptosis","Glucocorticoid Receptor, Apoptosis"
"259","unc0321","Epigenetics, GPCR/G Protein, Apoptosis","Histone Methyltransferase, GCGR, Apoptosis"
"260","ramipril","Metabolic Enzyme/Protease, Apoptosis","Angiotensin-converting Enzyme (ACE), Apoptosis"
"261","ginkgolide-b","Metabolic Enzyme/Protease, Apoptosis","Endogenous Metabolite, Apoptosis"
"262","r547","Cell Cycle/DNA Damage, Stem Cell/Wnt, PI3K/Akt/mTOR, Apoptosis","CDK, GSK-3, Apoptosis"
"263","adarotene","Apoptosis","Apoptosis"
"264","asiatic-acid","Apoptosis, Anti-infection","Apoptosis, Parasite"
"265","gsk1904529a","Protein Tyrosine Kinase/RTK, Apoptosis","IGF-1R, Insulin Receptor, Apoptosis"
"266","ib-meca","GPCR/G Protein, Apoptosis","Adenosine Receptor, Apoptosis"
"267","pik-75","Cell Cycle/DNA Damage, PI3K/Akt/mTOR, Apoptosis","DNA-PK, PI3K, Apoptosis"
"268","epothilone-b","Cell Cycle/DNA Damage, Cytoskeleton, Anti-infection, Apoptosis","Microtubule/Tubulin, Fungal, Apoptosis, Antibiotic, Bacterial"
"269","gmx1778","Metabolic Enzyme/Protease, Apoptosis","NAMPT, Apoptosis"
"270","bergenin","Autophagy, Apoptosis, Anti-infection","Autophagy, Apoptosis, Bacterial, Fungal, Virus Protease"
"271","azathioprine","Apoptosis","Apoptosis"
"272","gsk2801","Epigenetics, Apoptosis","Epigenetic Reader Domain, Apoptosis"
"273","prinaberel","Vitamin D Related/Nuclear Receptor, Stem Cell/Wnt, Apoptosis","Estrogen Receptor/ERR, Wnt, Apoptosis"
"274","mitotane","Apoptosis","Apoptosis"
"275","sal003","Metabolic Enzyme/Protease, Apoptosis","Phosphatase, Apoptosis"
"276","cpi-203","Epigenetics, Apoptosis","Epigenetic Reader Domain, Apoptosis"
"277","odq","GPCR/G Protein, Apoptosis","Guanylate Cyclase, Apoptosis"
"278","chir-124","Cell Cycle/DNA Damage, Protein Tyrosine Kinase/RTK, Apoptosis","Checkpoint Kinase (Chk), FLT3, PDGFR, Apoptosis"
"279","bx-912","PI3K/Akt/mTOR, Apoptosis","PDK-1, Apoptosis"
"280","azd3759","JAK/STAT Signaling, Protein Tyrosine Kinase/RTK, Apoptosis","EGFR, Apoptosis"
"281","su11274","Protein Tyrosine Kinase/RTK, Autophagy, Apoptosis","c-Met/HGFR, Autophagy, Apoptosis"
"282","citicoline","Apoptosis, Metabolic Enzyme/Protease","Apoptosis, Endogenous Metabolite"
"283","pha-793887","Cell Cycle/DNA Damage, Apoptosis","CDK, Apoptosis"
"284","avn-944","Anti-infection, Cell Cycle/DNA Damage, Apoptosis","Arenavirus, DNA/RNA Synthesis, Apoptosis, Caspase, Bcl-2 Family"
"285","perphenazine","GPCR/G Protein, Neuronal Signaling, Immunology/Inflammation, Apoptosis, Autophagy","Dopamine Receptor, Histamine Receptor, 5-HT Receptor, Adrenergic Receptor, Apoptosis, Autophagy"
"286","etoposide-phosphate","Cell Cycle/DNA Damage, Anti-infection, Autophagy, Apoptosis","Topoisomerase, Bacterial, Autophagy, Apoptosis"
"287","butein","JAK/STAT Signaling, Protein Tyrosine Kinase/RTK, Autophagy, Apoptosis, Metabolic Enzyme/Protease","EGFR, Autophagy, Apoptosis, Phosphodiesterase (PDE)"
"288","pfi-1","Epigenetics, Autophagy, Apoptosis","Epigenetic Reader Domain, Autophagy, Apoptosis"
"289","ezatiostat","Metabolic Enzyme/Protease, Apoptosis","Gutathione S-transferase, Apoptosis"
"290","yk-4-279","Cell Cycle/DNA Damage, Apoptosis","DNA/RNA Synthesis, Apoptosis"
"291","dutasteride","Metabolic Enzyme/Protease, Apoptosis","5 alpha Reductase, Apoptosis"
"292","sb-415286","PI3K/Akt/mTOR, Stem Cell/Wnt, Apoptosis","GSK-3, Apoptosis"
"293","vatalanib","Protein Tyrosine Kinase/RTK, Apoptosis","VEGFR, Apoptosis"
"294","purvalanol-a","Cell Cycle/DNA Damage, Autophagy, Apoptosis","CDK, Autophagy, Apoptosis"
"295","az960","Epigenetics, Stem Cell/Wnt, Protein Tyrosine Kinase/RTK, JAK/STAT Signaling, Apoptosis, Anti-infection","JAK, Apoptosis, Parasite, Virus Protease"
"296","almorexant","GPCR/G Protein, Neuronal Signaling, Membrane Transporter/Ion Channel, Apoptosis","Orexin Receptor (OX Receptor), Calcium Channel, Caspase, Apoptosis"
"297","nvp-231","Apoptosis","Apoptosis"
"298","nvp-tnks656","Cell Cycle/DNA Damage, Epigenetics, Apoptosis","PARP, Apoptosis"
"299","nelarabine","Cell Cycle/DNA Damage, Apoptosis","Nucleoside Antimetabolite/Analog, Apoptosis"
"300","sar405838","Apoptosis, Metabolic Enzyme/Protease","MDM-2/p53, E1/E2/E3 Enzyme, Apoptosis"
"301","bi-847325","MAPK/ERK Pathway, Epigenetics, Cell Cycle/DNA Damage, Apoptosis","MEK, Aurora Kinase, Apoptosis"
"302","lestaurtinib","Epigenetics, Stem Cell/Wnt, Protein Tyrosine Kinase/RTK, JAK/STAT Signaling, Neuronal Signaling, Apoptosis","JAK, FLT3, Trk Receptor, Apoptosis, STAT"
"303","sgi-1776","JAK/STAT Signaling, Autophagy, Apoptosis","Pim, Autophagy, Apoptosis"
"304","aurora-a-inhibitor-i","Cell Cycle/DNA Damage, Epigenetics, Apoptosis","Aurora Kinase, Apoptosis"
"305","eldecalcitol","Vitamin D Related/Nuclear Receptor, Apoptosis","VD/VDR, Apoptosis"
"306","oleuropein","Metabolic Enzyme/Protease, Cell Cycle/DNA Damage, Vitamin D Related/Nuclear Receptor, Apoptosis","Cytochrome P450, PPAR, Apoptosis"
"307","bilobalide","Apoptosis, Autophagy, Metabolic Enzyme/Protease","Apoptosis, Autophagy, Endogenous Metabolite"
"308","amuvatinib","Protein Tyrosine Kinase/RTK, Cell Cycle/DNA Damage, Apoptosis","c-Kit, PDGFR, RAD51, FLT3, c-Met/HGFR, RET, Apoptosis"
"309","o6-benzylguanine","Cell Cycle/DNA Damage, Apoptosis","DNA/RNA Synthesis, Apoptosis"
"310","delanzomib","Metabolic Enzyme/Protease, NF-κB, Apoptosis","Proteasome, NF-κB, Apoptosis"
"311","mimosine","Apoptosis","Apoptosis"
"312","oxybenzone","Vitamin D Related/Nuclear Receptor, Metabolic Enzyme/Protease, Autophagy, Apoptosis","RAR/RXR, Autophagy, Apoptosis"
"313","raf265","MAPK/ERK Pathway, Protein Tyrosine Kinase/RTK, Autophagy, Apoptosis","Raf, VEGFR, Autophagy, Apoptosis"
"314","flubendazole","Anti-infection, Cytoskeleton, Cell Cycle/DNA Damage, Stem Cell/Wnt, JAK/STAT Signaling, Apoptosis, Autophagy","Parasite, Microtubule/Tubulin, STAT, MDM-2/p53, Apoptosis, Autophagy"
"315","wye-125132","PI3K/Akt/mTOR, Apoptosis","mTOR, Apoptosis"
"316","gdc-0980","PI3K/Akt/mTOR, Apoptosis","PI3K, mTOR, Apoptosis"
"317","nvp-hsp990","Cell Cycle/DNA Damage, Metabolic Enzyme/Protease, Apoptosis","HSP, Apoptosis"
"318","zonisamide","Metabolic Enzyme/Protease, Apoptosis","Carbonic Anhydrase, Apoptosis"
"319","cp-724714","JAK/STAT Signaling, Protein Tyrosine Kinase/RTK, Apoptosis","EGFR, Apoptosis"
"320","etidronic-acid","Apoptosis","Apoptosis"
"321","orantinib","Protein Tyrosine Kinase/RTK, Apoptosis","PDGFR, FGFR, VEGFR, Apoptosis"
"322","su9516","Cell Cycle/DNA Damage, Autophagy, Apoptosis","CDK, Autophagy, Apoptosis"
"323","nvp-adw742","Protein Tyrosine Kinase/RTK, Apoptosis","IGF-1R, Insulin Receptor, Apoptosis"
"324","ic261","Cell Cycle/DNA Damage, Stem Cell/Wnt, Apoptosis","Casein Kinase, Apoptosis"
"325","swainsonine","Apoptosis, Anti-infection","Apoptosis, Antibiotic"
"326","serdemetan","Apoptosis, Metabolic Enzyme/Protease","MDM-2/p53, E1/E2/E3 Enzyme, Apoptosis"
"327","y-320","Immunology/Inflammation, Apoptosis","Interleukin Related, Apoptosis"
"328","aee788","JAK/STAT Signaling, Protein Tyrosine Kinase/RTK, Apoptosis","EGFR, Apoptosis"
"329","enmd-2076","Cell Cycle/DNA Damage, Epigenetics, Protein Tyrosine Kinase/RTK, Apoptosis","Aurora Kinase, FLT3, VEGFR, FGFR, PDGFR, Src, Apoptosis"
"330","citco","Apoptosis","Apoptosis"
"331","acitretin","Metabolic Enzyme/Protease, Vitamin D Related/Nuclear Receptor, Autophagy, Apoptosis","RAR/RXR, Autophagy, Apoptosis"
"332","lacidipine","Membrane Transporter/Ion Channel, Neuronal Signaling, Metabolic Enzyme/Protease, Immunology/Inflammation, NF-κB, Apoptosis","Calcium Channel, Reactive Oxygen Species, Caspase, Apoptosis"
"333","mpi-0479605","Cell Cycle/DNA Damage, Cytoskeleton, Apoptosis","Mps1, Apoptosis"
"334","betamethasone","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor, Apoptosis","Glucocorticoid Receptor, Apoptosis"
"335","bms-833923","Stem Cell/Wnt, Apoptosis","Smo, Apoptosis"
"336","scriptaid","Cell Cycle/DNA Damage, Epigenetics, Autophagy, Apoptosis, Anti-infection","HDAC, Autophagy, Apoptosis, Influenza Virus"
"337","cinchonine","Apoptosis, Anti-infection","Apoptosis, Parasite"
"338","gemcitabine-elaidate","Cell Cycle/DNA Damage, Autophagy, Apoptosis","Nucleoside Antimetabolite/Analog, Autophagy, Apoptosis"
"339","cgp-57380","MAPK/ERK Pathway, Apoptosis","MNK, Apoptosis"
"340","quiflapon","Immunology/Inflammation, Apoptosis","FLAP, Apoptosis"
"341","cc-223","PI3K/Akt/mTOR, Apoptosis","mTOR, Apoptosis"
"342","amg-337","Protein Tyrosine Kinase/RTK, Apoptosis","c-Met/HGFR, Caspase, Apoptosis"
"343","rx-3117","Cell Cycle/DNA Damage, Apoptosis","Nucleoside Antimetabolite/Analog, Apoptosis"
"344","tyrphostin-ag-879","Neuronal Signaling, JAK/STAT Signaling, Protein Tyrosine Kinase/RTK, Apoptosis","Trk Receptor, EGFR, Apoptosis"
"345","inh1","Apoptosis","Apoptosis"
"346","xl019","Epigenetics, Stem Cell/Wnt, Protein Tyrosine Kinase/RTK, JAK/STAT Signaling, Apoptosis","JAK, Apoptosis"
"347","oxibendazole","Anti-infection, Apoptosis","Parasite, Apoptosis"
"348","gsk1059615","PI3K/Akt/mTOR, Apoptosis","PI3K, mTOR, Apoptosis"
"349","zm-336372","MAPK/ERK Pathway, Apoptosis","Raf, Apoptosis"
"350","licofelone","Immunology/Inflammation, Metabolic Enzyme/Protease, Apoptosis","COX, Lipoxygenase, Apoptosis"
"351","ly2857785","Cell Cycle/DNA Damage, Apoptosis","CDK, Apoptosis"
"352","zardaverine","Metabolic Enzyme/Protease, Apoptosis","Phosphodiesterase (PDE), Apoptosis"
"353","griseofulvin","Anti-infection, Apoptosis, Metabolic Enzyme/Protease","Fungal, Apoptosis, Antibiotic, Endogenous Metabolite"
"354","tandutinib","Protein Tyrosine Kinase/RTK, Apoptosis","FLT3, c-Kit, PDGFR, Apoptosis"
"355","oxcarbazepine","Membrane Transporter/Ion Channel, Apoptosis","Sodium Channel, Apoptosis"
"356","glycitein","Apoptosis, Autophagy","Apoptosis, Autophagy"
"357","ei1","Epigenetics, Apoptosis","Histone Methyltransferase, Apoptosis"
"358","ro-90-7501","Neuronal Signaling, PI3K/Akt/mTOR, Cell Cycle/DNA Damage, Metabolic Enzyme/Protease, Apoptosis","Amyloid-β, ATM/ATR, Phosphatase, Apoptosis"
"359","mepazine","Metabolic Enzyme/Protease, NF-κB, Apoptosis","MALT1, Apoptosis"
"360","mk-8745","Cell Cycle/DNA Damage, Epigenetics, Apoptosis","Aurora Kinase, Apoptosis"
"361","zibotentan","GPCR/G Protein, Apoptosis","Endothelin Receptor, Apoptosis"
"362","btt-3033","Cytoskeleton, Apoptosis","Integrin, Apoptosis"
"363","wye-354","PI3K/Akt/mTOR, Autophagy, Apoptosis","mTOR, Autophagy, Apoptosis"
"364","talampanel","Membrane Transporter/Ion Channel, Neuronal Signaling, Apoptosis","iGluR, Apoptosis"
"365","stf-118804","Metabolic Enzyme/Protease, Apoptosis","NAMPT, Apoptosis"
"366","whi-p154","JAK/STAT Signaling, Protein Tyrosine Kinase/RTK, Stem Cell/Wnt, Epigenetics, Apoptosis","EGFR, JAK, Apoptosis"
"367","dapivirine","Anti-infection, Apoptosis, Autophagy","HIV, Reverse Transcriptase, Apoptosis, Autophagy"
"368","palomid-529","PI3K/Akt/mTOR, Apoptosis","mTOR, Apoptosis"
"369","nqdi-1","MAPK/ERK Pathway, Apoptosis","MAP3K, Apoptosis"
"370","laquinimod","NF-κB, Apoptosis","NF-κB, Apoptosis"
"371","verubulin","Cell Cycle/DNA Damage, Cytoskeleton, Apoptosis","Microtubule/Tubulin, Apoptosis"
"372","asp3026","Protein Tyrosine Kinase/RTK, Apoptosis","Anaplastic lymphoma kinase (ALK), Apoptosis"
"373","hexylresorcinol","Anti-infection, Apoptosis, Metabolic Enzyme/Protease","Parasite, Bacterial, Apoptosis, Glucosidase, Endogenous Metabolite"
"374","lometrexol","Cell Cycle/DNA Damage, Apoptosis","Antifolate, Apoptosis, Caspase, Bcl-2 Family"
"375","aminopurvalanol-a","Cell Cycle/DNA Damage, Apoptosis","CDK, Apoptosis"
"376","krca-0008","Protein Tyrosine Kinase/RTK, Apoptosis","Ack1, Anaplastic lymphoma kinase (ALK), Apoptosis"
"377","etretinate","Apoptosis","Apoptosis"
"378","unc1215","Epigenetics, Apoptosis","Histone Methyltransferase, Apoptosis"
"379","perillyl-alcohol","Apoptosis, Metabolic Enzyme/Protease","Apoptosis, Endogenous Metabolite"
"380","meisoindigo","Apoptosis","Apoptosis"
"381","sc-236","Immunology/Inflammation, Vitamin D Related/Nuclear Receptor, Cell Cycle/DNA Damage, Apoptosis","COX, PPAR, Apoptosis"
"382","sb-218078","Cell Cycle/DNA Damage, TGF-beta/Smad, Epigenetics, Apoptosis","Checkpoint Kinase (Chk), CDK, PKC, Apoptosis"
"383","minodronic-acid","Membrane Transporter/Ion Channel, Apoptosis","P2X Receptor, Apoptosis"
"384","epz020411","Epigenetics, Apoptosis","Histone Methyltransferase, Apoptosis"
"385","pht-427","PI3K/Akt/mTOR, Apoptosis","Akt, Apoptosis"
"386","ar-42","Cell Cycle/DNA Damage, Epigenetics, Autophagy, Apoptosis","HDAC, Autophagy, Apoptosis"
"387","droxinostat","Cell Cycle/DNA Damage, Epigenetics, Apoptosis","HDAC, Apoptosis"
"388","uc-112","Apoptosis","IAP, Apoptosis"
"389","(s)-(+)-rolipram","Metabolic Enzyme/Protease, Apoptosis","Phosphodiesterase (PDE), Apoptosis"
"390","osi-930","Protein Tyrosine Kinase/RTK, Apoptosis","c-Kit, VEGFR, c-Fms, Apoptosis"
"391","chf5074","Neuronal Signaling, Stem Cell/Wnt, Apoptosis","γ-secretase, Apoptosis"
"392","azilsartan","GPCR/G Protein, NF-κB, Metabolic Enzyme/Protease, Immunology/Inflammation, Apoptosis","Angiotensin Receptor, Reactive Oxygen Species, Apoptosis"
"393","pyrazoloacridine","Cell Cycle/DNA Damage, Apoptosis","Topoisomerase, Apoptosis"
"394","fimasartan","GPCR/G Protein, Apoptosis","Angiotensin Receptor, Apoptosis"
"395","cyproheptadine","Induced Disease Models Products, GPCR/G Protein, Neuronal Signaling, Apoptosis","Endocrine and Metabolic Disease Models, 5-HT Receptor, Apoptosis"
"396","cay10505","PI3K/Akt/mTOR, Apoptosis","PI3K, Apoptosis"
"397","4sc-202","Cell Cycle/DNA Damage, Epigenetics, Apoptosis","HDAC, Apoptosis"
"398","pivanex","Cell Cycle/DNA Damage, Epigenetics, Protein Tyrosine Kinase/RTK, Apoptosis","HDAC, Bcr-Abl, Apoptosis"
"399","atb-346","Immunology/Inflammation, Apoptosis","COX, Apoptosis"
"400","oxaprozin","Immunology/Inflammation, NF-κB, PI3K/Akt/mTOR, Apoptosis","COX, NF-κB, Akt, IKK, Apoptosis"
"401","deracoxib","Immunology/Inflammation, Apoptosis","COX, Apoptosis"
"402","forodesine","Cell Cycle/DNA Damage, Apoptosis","Nucleoside Antimetabolite/Analog, Apoptosis"
"403","topotecan","Cell Cycle/DNA Damage, Autophagy, Apoptosis","Topoisomerase, Autophagy, Apoptosis"
"404","tegaserod","GPCR/G Protein, Neuronal Signaling, Apoptosis","5-HT Receptor, Apoptosis"
"405","dup-697","Immunology/Inflammation, Apoptosis","COX, Apoptosis"
"406","petcm","Apoptosis","Caspase, Apoptosis"
"407","antagonist-g","GPCR/G Protein, Apoptosis","Vasopressin Receptor, Apoptosis"
